,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,War
236,2018,USA,English, KVT Productions,0.0,35000.0,0.0,Brandon Keenan,Nick LaMantia,72.0,Brandon Keenan,David Ogrodowski,Nick LaMantia,,Brandon Keenan,0,0,10.0,Body Farm,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
237,2018,Argentina,Spanish, MaravillaCine,79.0,0.0,0.0,Martín Rodríguez Redondo,0,67.0,Walter Rodríguez,Catalina Saavedra,Germán de Silva,,Mariana Docampo,Mara Pescio,,189.0,Marilyn,0.0,3676.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2018,France,French, 2425 Films,85.0,0.0,0.0,Robin Sykes,0,58.0,Thierry Lhermitte,Rayane Bensetti,Émilie Caen,,Robin Sykes,Antoine Raimbault,0,357.0,La finale,0.0,4742293.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2018,Germany,German, Rohfilm Factory GmbH,115.0,0.0,0.0,Emily Atef,0,69.0,Marie Bäumer,Birgit Minichmayr,Charly Hübner,,Emily Atef,0,0,801.0,3 Tage in Quiberon,0.0,1882287.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2018,India,Malayalam, Reel & Real Cinema,155.0,0.0,0.0,Kamal,0,66.0,Manju Warrier,Murali Gopy,Tovino Thomas,,Kamal,0,0,410.0,Aami,0.0,64528.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2018,Italy,Italian, Fandango,100.0,0.0,0.0,Luciano Ligabue,0,59.0,Stefano Accorsi,Kasia Smutniak,Fausto Maria Sciarappa,,Luciano Ligabue,0,0,821.0,Made in Italy,0.0,3673461.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2018,Germany,English, Studio 100 Media,85.0,0.0,0.0,Noel Cleary,Sergio Delfino,55.0,Coco Jack Gillies,Benson Jack Anthony,Richard Roxburgh,,Adrian Bickenbach,Waldemar Bonsels,,604.0,Maya the Bee: The Honey Games,0.0,10745061.0,   G,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2018,Japan,Japanese, Kyoto Animation,94.0,0.0,0.0,Tatsuya Ishihara,0,71.0,Jun Fukuyama,Maaya Uchida,Chinatsu Akasaki,,Torako,Jukki Hanada,,287.0,Eiga Chuunibyou demo koi ga shitai! Take On Me,0.0,1956834.0,TV-14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
244,2018,France,French, Nord-Ouest Films,82.0,0.0,0.0,Victor Saint Macary,0,55.0,William Lebghil,Margot Bancilhon,Jonathan Cohen,,Thomas Cailley,Benjamin Charbit,,449.0,Ami-ami,0.0,1368056.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
245,2018,USA,English, Fluffy Cat Productions,89.0,1200000.0,0.0,Maria Burton,0,55.0,Nadia Jordan,Rex Lee,Rosanna Arquette,,Nadia Jordan,Nadia Jordan,,613.0,For the Love of George,0.0,0.0,TV-14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
