,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Adventure,Animation,Biography,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Western,Action,Family,Fantasy,History,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War
169,1995,USA,English, Castle Rock Entertainment,101.0,2500000.0,5535405.0,Richard Linklater,0,81.0,Ethan Hawke,Julie Delpy,Andrea Eckert,,Richard Linklater,Kim Krizan,0,246331.0,Before Sunrise,1423537291995.0,5986708.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,1988,Japan,Japanese, Akira Committee Company Ltd.,124.0,1100000000.0,553171.0,Katsuhiro Ôtomo,0,81.0,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,,Katsuhiro Ôtomo,Izô Hashimoto,,147606.0,Akira,1126311990.0,577594.0,   R,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
171,2010,Argentina,Spanish, Tornasol Films,129.0,2000000.0,6391436.0,Juan José Campanella,0,82.0,Ricardo Darín,Soledad Villamil,Pablo Rago,,Eduardo Sacheri,Juan José Campanella,,178072.0,The Secret in Their Eyes,167866182010.0,42629597.0,   R,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
172,1982,West Germany,German, Bavaria Film,149.0,32000000.0,11487676.0,Wolfgang Petersen,0,83.0,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,,Wolfgang Petersen,Lothar G. Buchheim,0,216699.0,Das Boot,26994141982.0,11487676.0,   R,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
173,2018,India,Hindi, Matchbox Pictures,139.0,4500000.0,1193046.0,Sriram Raghavan,0,84.0,Ayushmann Khurrana,Tabu,Radhika Apte,,Arijit Biswas,Yogesh Chandekar,,52923.0,Andhadhun,27867772018.0,49391206.0,Not Rated,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,1975,UK,English, Peregrine,185.0,11000000.0,0.0,Stanley Kubrick,0,81.0,Ryan O'Neal,Marisa Berenson,Patrick Magee,,Stanley Kubrick,William Makepeace Thackeray,0,137005.0,Barry Lyndon,0.0,198992.0,   PG,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
175,1969,USA,English, Campanile Productions,110.0,6000000.0,102308889.0,George Roy Hill,0,80.0,Paul Newman,Robert Redford,Katharine Ross,,William Goldman,0,0,191879.0,Butch Cassidy and the Sundance Kid,0.0,102310639.0,   PG,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,1979,UK,English, HandMade Films,94.0,4000000.0,20206622.0,Terry Jones,0,81.0,Graham Chapman,John Cleese,Michael Palin,,Graham Chapman,John Cleese,,343784.0,Monty Python's Life of Brian,140034191979.0,20714870.0,   R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1985,Soviet Union,Belarusian, Belarusfilm,142.0,0.0,0.0,Elem Klimov,0,83.0,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,,Ales Adamovich,Ales Adamovich,,46146.0,Come and See,0.0,96908.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,1959,USA,English, Metro-Goldwyn-Mayer (MGM),136.0,3101000.0,0.0,Alfred Hitchcock,0,83.0,Cary Grant,Eva Marie Saint,James Mason,,Ernest Lehman,0,0,279604.0,North by Northwest,0.0,55597.0,Not Rated,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
